Date,Price_To_Book Ratio
4/5/93,1.2414
5/5/93,1.2413
6/5/93,1.2424
7/5/93,1.2398
10/5/93,1.2381
11/5/93,1.2403
12/5/93,1.2494
13/5/93,1.2543
14/5/93,1.242
17/5/93,1.2402
18/5/93,1.2427
19/5/93,1.2407
20/5/93,1.2607
21/5/93,1.2691
24/5/93,1.2581
25/5/93,1.2635
26/5/93,1.2667
27/5/93,1.2752
28/5/93,1.2804
1/6/93,1.2706
2/6/93,1.2795
3/6/93,1.2799
4/6/93,1.2769
7/6/93,1.277
8/6/93,1.3077
9/6/93,1.2997
10/6/93,1.3002
11/6/93,1.2927
14/6/93,1.2976
15/6/93,1.3012
16/6/93,1.2928
17/6/93,1.3001
18/6/93,1.3039
21/6/93,1.2938
22/6/93,1.2998
23/6/93,1.2948
24/6/93,1.2835
25/6/93,1.2923
28/6/93,1.2924
29/6/93,1.3063
30/6/93,1.3021
1/7/93,1.3264
2/7/93,1.3244
6/7/93,1.3143
7/7/93,1.3009
8/7/93,1.3106
9/7/93,1.3252
12/7/93,1.3277
13/7/93,1.3289
14/7/93,1.3256
15/7/93,1.3358
16/7/93,1.339
19/7/93,1.3304
20/7/93,1.3331
21/7/93,1.3366
22/7/93,1.3406
23/7/93,1.3293
26/7/93,1.3374
27/7/93,1.3453
28/7/93,1.3444
29/7/93,1.3399
30/7/93,1.3452
2/8/93,1.3346
3/8/93,1.3399
4/8/93,1.34
5/8/93,1.3366
6/8/93,1.3354
9/8/93,1.3397
10/8/93,1.3456
11/8/93,1.3443
12/8/93,1.3483
13/8/93,1.343
16/8/93,1.3432
17/8/93,1.3468
18/8/93,1.3497
19/8/93,1.3564
20/8/93,1.3592
23/8/93,1.3604
24/8/93,1.3569
25/8/93,1.3693
26/8/93,1.3742
27/8/93,1.3727
30/8/93,1.3699
31/8/93,1.3712
1/9/93,1.3739
2/9/93,1.3716
3/9/93,1.3644
7/9/93,1.3674
8/9/93,1.3573
9/9/93,1.3504
10/9/93,1.3506
13/9/93,1.3627
14/9/93,1.3675
15/9/93,1.3605
16/9/93,1.3673
17/9/93,1.3662
20/9/93,1.3596
21/9/93,1.3455
22/9/93,1.331
23/9/93,1.3347
24/9/93,1.3319
27/9/93,1.3332
28/9/93,1.339
29/9/93,1.3384
30/9/93,1.3385
1/10/93,1.3094
4/10/93,1.319
5/10/93,1.3176
6/10/93,1.3211
7/10/93,1.3254
8/10/93,1.3197
11/10/93,1.3202
12/10/93,1.3233
13/10/93,1.3232
14/10/93,1.3269
15/10/93,1.3337
18/10/93,1.3367
19/10/93,1.3414
20/10/93,1.3388
21/10/93,1.3424
22/10/93,1.3391
25/10/93,1.3439
26/10/93,1.3529
27/10/93,1.3525
28/10/93,1.3496
29/10/93,1.3581
1/11/93,1.3554
