DATE,T10Y3M
2/1/92,2.82
3/1/92,2.9
6/1/92,2.9
7/1/92,2.91
8/1/92,2.95
9/1/92,2.92
10/1/92,2.93
13/1/92,3
14/1/92,3.11
15/1/92,3.11
16/1/92,3.24
17/1/92,3.2
20/1/92,.
21/1/92,3.17
22/1/92,3.24
23/1/92,3.33
24/1/92,3.34
27/1/92,3.31
28/1/92,3.23
29/1/92,3.29
30/1/92,3.38
31/1/92,3.37
3/2/92,3.4
4/2/92,3.35
5/2/92,3.27
6/2/92,3.29
7/2/92,3.36
10/2/92,3.38
11/2/92,3.38
12/2/92,3.45
13/2/92,3.51
14/2/92,3.52
17/2/92,.
18/2/92,3.54
19/2/92,3.47
20/2/92,3.43
21/2/92,3.42
24/2/92,3.4
25/2/92,3.37
26/2/92,3.28
27/2/92,3.31
28/2/92,3.24
2/3/92,3.24
3/3/92,3.29
4/3/92,3.3
5/3/92,3.37
6/3/92,3.34
9/3/92,3.32
10/3/92,3.32
11/3/92,3.4
12/3/92,3.5
13/3/92,3.55
16/3/92,3.51
17/3/92,3.46
18/3/92,3.47
19/3/92,3.42
20/3/92,3.48
23/3/92,3.45
24/3/92,3.38
25/3/92,3.42
26/3/92,3.46
27/3/92,3.43
30/3/92,3.38
31/3/92,3.39
1/4/92,3.35
2/4/92,3.35
3/4/92,3.36
6/4/92,3.38
7/4/92,3.45
8/4/92,3.48
9/4/92,3.6
10/4/92,3.63
13/4/92,3.63
14/4/92,3.65
15/4/92,3.67
16/4/92,3.72
17/4/92,.
20/4/92,3.8
21/4/92,3.81
22/4/92,3.8
23/4/92,3.83
24/4/92,3.79
27/4/92,3.78
28/4/92,3.77
29/4/92,3.8
30/4/92,3.82
1/5/92,3.84
4/5/92,3.87
5/5/92,3.84
6/5/92,3.76
7/5/92,3.78
8/5/92,3.69
11/5/92,3.66
12/5/92,3.66
13/5/92,3.67
14/5/92,3.69
15/5/92,3.62
18/5/92,3.59
19/5/92,3.58
20/5/92,3.6
21/5/92,3.63
22/5/92,3.58
25/5/92,.
26/5/92,3.62
27/5/92,3.65
28/5/92,3.59
29/5/92,3.54
1/6/92,3.57
2/6/92,3.52
3/6/92,3.54
4/6/92,3.56
5/6/92,3.54
8/6/92,3.53
9/6/92,3.56
10/6/92,3.58
11/6/92,3.58
12/6/92,3.54
15/6/92,3.53
16/6/92,3.52
17/6/92,3.53
18/6/92,3.5
19/6/92,3.5
22/6/92,3.49
23/6/92,3.48
24/6/92,3.48
25/6/92,3.43
26/6/92,3.44
29/6/92,3.46
30/6/92,3.49
1/7/92,3.47
2/7/92,3.62
3/7/92,.
6/7/92,3.61
7/7/92,3.59
8/7/92,3.62
9/7/92,3.63
10/7/92,3.64
13/7/92,3.68
14/7/92,3.69
15/7/92,3.65
16/7/92,3.63
17/7/92,3.67
20/7/92,3.64
21/7/92,3.63
22/7/92,3.61
23/7/92,3.49
24/7/92,3.5
27/7/92,3.43
28/7/92,3.37
29/7/92,3.35
30/7/92,3.44
31/7/92,3.47
3/8/92,3.47
4/8/92,3.42
5/8/92,3.4
6/8/92,3.42
7/8/92,3.36
10/8/92,3.32
11/8/92,3.3
12/8/92,3.29
13/8/92,3.39
14/8/92,3.4
17/8/92,3.4
18/8/92,3.34
19/8/92,3.32
20/8/92,3.31
21/8/92,3.39
24/8/92,3.45
25/8/92,3.49
26/8/92,3.45
27/8/92,3.41
28/8/92,3.4
31/8/92,3.39
1/9/92,3.34
2/9/92,3.33
3/9/92,3.33
4/9/92,3.42
7/9/92,.
8/9/92,3.33
9/9/92,3.34
10/9/92,3.34
11/9/92,3.39
14/9/92,3.37
15/9/92,3.42
16/9/92,3.45
17/9/92,3.46
18/9/92,3.47
21/9/92,3.45
22/9/92,3.52
23/9/92,3.56
24/9/92,3.53
25/9/92,3.55
28/9/92,3.58
29/9/92,3.58
30/9/92,3.62
1/10/92,3.56
2/10/92,3.57
5/10/92,3.49
6/10/92,3.51
7/10/92,3.57
8/10/92,3.56
9/10/92,3.63
12/10/92,.
13/10/92,3.56
14/10/92,3.52
15/10/92,3.55
16/10/92,3.63
19/10/92,3.65
20/10/92,3.77
21/10/92,3.81
22/10/92,3.76
23/10/92,3.83
26/10/92,3.81
27/10/92,3.78
28/10/92,3.76
29/10/92,3.69
30/10/92,3.77
2/11/92,3.8
3/11/92,3.77
4/11/92,3.8
5/11/92,3.79
6/11/92,3.84
9/11/92,3.83
10/11/92,3.76
11/11/92,.
12/11/92,3.66
13/11/92,3.67
16/11/92,3.68
17/11/92,3.62
18/11/92,3.56
19/11/92,3.59
20/11/92,3.56
23/11/92,3.52
24/11/92,3.53
25/11/92,3.53
26/11/92,.
27/11/92,3.6
30/11/92,3.57
1/12/92,3.54
2/12/92,3.51
3/12/92,3.54
4/12/92,3.52
7/12/92,3.43
8/12/92,3.4
9/12/92,3.46
10/12/92,3.48
11/12/92,3.48
14/12/92,3.5
15/12/92,3.54
16/12/92,3.49
17/12/92,3.5
18/12/92,3.53
21/12/92,3.46
22/12/92,3.38
23/12/92,3.43
24/12/92,3.46
25/12/92,.
28/12/92,3.42
29/12/92,3.42
30/12/92,3.49
31/12/92,3.55
1/1/93,.
4/1/93,3.41
5/1/93,3.43
6/1/93,3.46
7/1/93,3.57
8/1/93,3.62
11/1/93,3.59
12/1/93,3.63
13/1/93,3.65
14/1/93,3.61
15/1/93,3.6
18/1/93,.
19/1/93,3.49
20/1/93,3.53
21/1/93,3.55
22/1/93,3.54
25/1/93,3.46
26/1/93,3.49
