DATE,M1346BUSM156NNBR
1926-01-01,4.46
1926-02-01,4.51
1926-03-01,4.92
1926-04-01,5.17
1926-05-01,5.26
1926-06-01,5.24
1926-07-01,5.09
1926-08-01,4.92
1926-09-01,4.86
1926-10-01,4.97
1926-11-01,4.93
1926-12-01,4.94
1927-01-01,5.02
1927-02-01,5.01
1927-03-01,5.07
1927-04-01,4.97
1927-05-01,4.85
1927-06-01,4.97
1927-07-01,4.91
1927-08-01,4.68
1927-09-01,4.42
1927-10-01,4.47
1927-11-01,4.37
1927-12-01,4.32
1928-01-01,4.31
1928-02-01,4.39
1928-03-01,4.20
1928-04-01,4.05
1928-05-01,3.93
1928-06-01,4.13
1928-07-01,4.14
1928-08-01,4.01
1928-09-01,3.78
1928-10-01,3.72
1928-11-01,3.50
1928-12-01,3.60
1929-01-01,3.36
1929-02-01,3.38
1929-03-01,3.31
1929-04-01,3.35
1929-05-01,3.37
1929-06-01,3.38
1929-07-01,3.16
1929-08-01,3.01
1929-09-01,2.92
1929-10-01,3.33
1929-11-01,4.54
1929-12-01,4.48
1930-01-01,4.38
1930-02-01,4.14
1930-03-01,3.99
1930-04-01,3.78
1930-05-01,4.02
1930-06-01,4.50
1930-07-01,4.44
1930-08-01,4.42
1930-09-01,4.33
1930-10-01,5.05
1930-11-01,5.43
1930-12-01,5.62
1931-01-01,5.50
1931-02-01,5.12
1931-03-01,4.95
1931-04-01,5.43
1931-05-01,5.95
1931-06-01,5.96
1931-07-01,5.66
1931-08-01,5.74
1931-09-01,6.51
1931-10-01,7.28
1931-11-01,7.06
1931-12-01,8.68
1932-01-01,8.22
1932-02-01,8.04
1932-03-01,7.16
1932-04-01,9.13
1932-05-01,9.57
1932-06-01,10.30
1932-07-01,8.85
1932-08-01,5.65
1932-09-01,4.94
1932-10-01,5.73
1932-11-01,5.84
1932-12-01,5.68
1933-01-01,5.42
1933-02-01,6.04
1933-03-01,6.18
1933-04-01,5.47
1933-05-01,3.90
1933-06-01,3.20
1933-07-01,2.95
1933-08-01,3.19
1933-09-01,3.30
1933-10-01,3.59
1933-11-01,3.65
1933-12-01,3.59
1934-01-01,3.36
1934-02-01,3.10
1934-03-01,3.33
1934-04-01,3.25
1934-05-01,3.58
1934-06-01,3.55
1934-07-01,3.67
1934-08-01,4.00
1934-09-01,4.21
1934-10-01,4.22
1934-11-01,4.14
1934-12-01,4.25
1935-01-01,4.24
1935-02-01,4.24
1935-03-01,4.51
1935-04-01,4.35
1935-05-01,4.00
1935-06-01,3.82
1935-07-01,3.58
1935-08-01,3.48
1935-09-01,3.51
1935-10-01,3.50
1935-11-01,3.24
1935-12-01,3.38
1936-01-01,3.27
1936-02-01,3.14
1936-03-01,3.11
1936-04-01,3.19
1936-05-01,3.46
1936-06-01,3.51
1936-07-01,3.37
1936-08-01,3.40
1936-09-01,3.56
1936-10-01,3.41
1936-11-01,3.52
1936-12-01,4.36
1937-01-01,4.34
1937-02-01,3.83
1937-03-01,3.47
1937-04-01,3.74
1937-05-01,4.04
1937-06-01,4.41
1937-07-01,4.18
1937-08-01,4.23
1937-09-01,5.06
1937-10-01,6.01
1937-11-01,7.01
1937-12-01,7.94
1938-01-01,7.84
1938-02-01,7.52
1938-03-01,6.02
1938-04-01,5.84
1938-05-01,5.68
1938-06-01,5.40
1938-07-01,4.35
1938-08-01,4.26
1938-09-01,4.30
1938-10-01,3.77
1938-11-01,3.59
1938-12-01,3.58
1939-01-01,3.49
1939-02-01,3.61
1939-03-01,3.69
1939-04-01,4.23
1939-05-01,4.25
1939-06-01,4.33
1939-07-01,4.26
1939-08-01,4.33
1939-09-01,3.91
1939-10-01,3.87
1939-11-01,4.12
1939-12-01,4.54
1940-01-01,4.58
1940-02-01,4.65
1940-03-01,4.70
1940-04-01,4.73
1940-05-01,5.69
1940-06-01,6.31
