DATE,DGS5_DGS3MO
2/1/92,2.02
3/1/92,2.1
6/1/92,2.1
7/1/92,2.09
8/1/92,2.14
9/1/92,2.15
10/1/92,2.18
13/1/92,2.29
14/1/92,2.42
15/1/92,2.43
16/1/92,2.52
17/1/92,2.47
20/1/92,.
21/1/92,2.41
22/1/92,2.43
23/1/92,2.45
24/1/92,2.49
27/1/92,2.48
28/1/92,2.39
29/1/92,2.46
30/1/92,2.55
31/1/92,2.5
3/2/92,2.56
4/2/92,2.52
5/2/92,2.46
6/2/92,2.49
7/2/92,2.56
10/2/92,2.55
11/2/92,2.55
12/2/92,2.61
13/2/92,2.72
14/2/92,2.76
17/2/92,.
18/2/92,2.76
19/2/92,2.72
20/2/92,2.69
21/2/92,2.74
24/2/92,2.74
25/2/92,2.71
26/2/92,2.61
27/2/92,2.63
28/2/92,2.55
2/3/92,2.59
3/3/92,2.62
4/3/92,2.63
5/3/92,2.73
6/3/92,2.71
9/3/92,2.67
10/3/92,2.67
11/3/92,2.75
12/3/92,2.89
13/3/92,2.98
16/3/92,2.94
17/3/92,2.9
18/3/92,2.91
19/3/92,2.88
20/3/92,2.96
23/3/92,2.93
24/3/92,2.85
25/3/92,2.85
26/3/92,2.87
27/3/92,2.86
30/3/92,2.77
31/3/92,2.79
1/4/92,2.71
2/4/92,2.73
3/4/92,2.7
6/4/92,2.71
7/4/92,2.77
8/4/92,2.8
9/4/92,2.84
10/4/92,2.88
13/4/92,2.88
14/4/92,2.9
15/4/92,2.96
16/4/92,3.03
17/4/92,.
20/4/92,3.11
21/4/92,3.12
22/4/92,3.12
23/4/92,3.15
24/4/92,3.09
27/4/92,3.08
28/4/92,3.07
29/4/92,3.08
30/4/92,3.12
1/5/92,3.1
4/5/92,3.11
5/5/92,3.08
6/5/92,3.06
7/5/92,3.09
8/5/92,3.01
11/5/92,2.97
12/5/92,2.96
13/5/92,2.97
14/5/92,2.98
15/5/92,2.94
18/5/92,2.9
19/5/92,2.85
20/5/92,2.9
21/5/92,3.01
22/5/92,2.92
25/5/92,.
26/5/92,2.95
27/5/92,2.95
28/5/92,2.9
29/5/92,2.82
1/6/92,2.87
2/6/92,2.78
3/6/92,2.8
4/6/92,2.82
5/6/92,2.78
8/6/92,2.78
9/6/92,2.82
10/6/92,2.82
11/6/92,2.81
12/6/92,2.74
15/6/92,2.74
16/6/92,2.72
17/6/92,2.74
18/6/92,2.7
19/6/92,2.71
22/6/92,2.7
23/6/92,2.73
24/6/92,2.67
25/6/92,2.61
26/6/92,2.62
29/6/92,2.63
30/6/92,2.64
1/7/92,2.64
2/7/92,2.71
3/7/92,.
6/7/92,2.68
7/7/92,2.63
8/7/92,2.64
9/7/92,2.65
10/7/92,2.63
13/7/92,2.65
14/7/92,2.62
15/7/92,2.55
16/7/92,2.56
17/7/92,2.59
20/7/92,2.56
21/7/92,2.56
22/7/92,2.53
23/7/92,2.39
24/7/92,2.43
27/7/92,2.4
28/7/92,2.37
29/7/92,2.37
30/7/92,2.51
31/7/92,2.59
3/8/92,2.57
4/8/92,2.48
5/8/92,2.45
6/8/92,2.44
7/8/92,2.35
10/8/92,2.3
11/8/92,2.3
12/8/92,2.35
13/8/92,2.41
14/8/92,2.41
17/8/92,2.39
18/8/92,2.3
19/8/92,2.28
20/8/92,2.27
21/8/92,2.4
24/8/92,2.49
25/8/92,2.52
